Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Argentina,Switzerland,1968,?,6,?,Super-Fledermaus,fire control radar,6,?,1969,New,For use with Rh-202 20mm and GDF-001 35mm anti-aircraft guns,3.5,21,21
Argentina,United Kingdom,1970,?,5,?,Green Archer,artillery locating radar,5,?,1971,New,,3,15,15
Argentina,United States,1988,?,3,,APS-128,MP aircraft radar,3,,1990,New,For 3 C-212-300MPA MP aircraft,2.5,7.5,7.5
Argentina,United States,1995,?,8,?,APS-94,AGS radar,8,?,1997,Second hand,Second-hand; for use on OV-1D reconnaissance aircraft,1,8,8
Argentina,United States,1993,?,4,,RDR-1500,MP aircraft radar,4,,1996,New,For 4 AS-555 helicopters from France,2.25,9,9
Argentina,United States,1978,?,6,,TPS-43,air search radar,6,?,1978,New,,9,54,54
Argentina,United States,2003,,2,,TPS-43,air search radar,2,,2004,Second hand,Second-hand; aid,3.6,7.2,7.2
Argentina,United States,2004,,3,,TPS-43,air search radar,3,?,2004,Second hand,Second-hand; $2 m deal,3.6,10.8,10.8
Argentina,United States,1980,,6,?,TPS-44,air search radar,6,?,1981,New,,4.76,28.56,28.56
Armenia,France,2023,,3,,Ground Master-200,air search radar,0,,,New,,10,30,0
Armenia,India,2020,,4,,Swathi,artillery locating radar,4,?,2021,New,$40 m deal,8,32,32
Austria,France,1964,?,2,,Palmier,air search radar,2,,1967,New,Designation uncertain,12.5,25,25
Austria,France,1995,,22,,RAC-3D,air search radar,22,?,1997; 1998; 1999,New,Part of $129 m deal (offsets $344 m); incl for use with Mistral SAM,4.76,104.72,104.72
Austria,Italy,2005,,2,,RAT-31DL,air search radar,2,?,2007,New,EUR50 m ($61 m) deal,12.5,25,25
Austria,Italy,2014,,1,,RAT-31DL,air search radar,1,,2016,New,RAT-31DL/M version,12.5,12.5,12.5
Austria,Italy,2000,?,1,,RAT-31DL,air search radar,1,,2002,New,,12.5,12.5,12.5
Austria,Italy,2018,?,3,,RAT-31DL,air search radar,3,?,2020; 2021,New,,12.5,37.5,37.5
Austria,Italy,1977,,5,,RAT-31S,air search radar,5,?,1982; 1983,New,Part of 'Goldhaube' air surveillance network; incl 2 as part of mobile MRCS-403 system,12,60,60
Austria,Switzerland,1979,?,37,?,Skyguard,fire control radar,37,?,1979; 1980; 1981; 1982,New,For use with GDF-002 35mm AA guns; Austrian designation Feuerleitgert-75/79,5,185,185
Austria,Switzerland,2023,,7,,Skyguard,fire control radar,0,,,New,Part of EUR532 m deal; Skyguard-2 rebuilt to Skyguard-3 version; for use with GDF-009 35mm AA guns,5,35,0
Austria,Switzerland,1963,?,41,?,Super-Fledermaus,fire control radar,41,?,1964; 1965; 1966,New,For use with 82 GDF-001 and GDF-002 35mm anti-aircraft guns,3.5,143.5,143.5
Austria,United Kingdom,1996,?,5,?,MSTAR,ground surv radar,5,?,1997,New,,0.5,2.5,2.5
Austria,United States,1956,?,3,,TPS-1,air search radar,3,?,1957,Second hand,Second-hand; bought after US violations of Austrian air space in 1956 Suez crisis,1,3,3
Austria,United States,1958,?,3,,TPS-1,air search radar,3,?,1959,New,Designation uncertain,2.5,7.5,7.5
Australia,Denmark,2018,,12,,Scanter-6000,air/sea search radar,0,,,New,Scanter-6002 version; for 12 OPV-80 (Sea-1180 Phase-1) OPV from Germany,4.75,57,0
Australia,France,2011,,24,,FLASH,ASW sonar,24,,2013; 2014; 2015; 2016,New,For 24 MH-60R ASW helicopters from USA; from US production line,2,48,48
Australia,France,2022,,12,,FLASH,ASW sonar,0,,,New,For 12 MH-60R ASW helicopters from USA; from US production line,2,24,0
