Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
China,Russia,1998,?,2,,3K37,naval SAM system,2,,2004,New,For 2 Type-052B (Luyang-1) destroyers produced in China,15,30,30
China,Russia,2004,?,50,?,AK-176 76mm,naval gun,41,?,2008; 2010; 2011; 2012; 2013; 2015; 2016; 2017; 2018; 2019; 2022; 2023,New,For 50 Type-054A (Jiangkai-2) frigates produced in China; produced under licence as H/PJ-26,2.5,125,102.5
China,Russia,2005,?,8,?,AK-176 76mm,naval gun,8,?,2007; 2011; 2012; 2016; 2018; 2019; 2020,New,Chinese-produced H/PJ-26 version for 8 Type-071 (Yuzhao) AALS produced in China,2.5,20,20
China,Russia,2010,?,72,?,AK-176 76mm,naval gun,72,?,2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021,New,Chinese-produced H/PJ-26 version for 72 Type-056 (Jiangdao) frigates produced in China,2.5,180,180
China,Russia,2002,?,2,,S-300FM Rif-M,naval SAM system,2,,2006; 2007,New,For 2 Type-051C (Luzhou or Shenyang) destroyers produced in China,20,40,40
China,Soviet Union,1953,?,16,?,B-34 L/56 100mm,naval gun,16,?,1955,New,For modernization of 7 Second-hand frigates and 2 former merchant ships,0.75,12,12
Colombia,Italy,1975,?,4,,Compact 76mm,naval gun,4,,1983; 1984,New,For 4 FS-1500 (Padilla) frigates from FRG,2.5,10,10
Colombia,Italy,2011,?,1,,Compact 76mm,naval gun,1,,2017,New,For 1 OPV-80 OPV from FRG,2.5,2.5,2.5
Colombia,Italy,1980,?,4,,Compact 40L70,naval gun,4,,1983; 1984,New,For 4 FS-1500 (Padilla) frigates from FRG,2.5,10,10
Colombia,United States,1954,?,3,,Mk-26 76mm,naval gun,3,,1956,New,For 3 Arauca patrol craft produced in Colombia,0.2,0.6,0.6
Colombia,United States,1952,?,4,,Mk-30 127mm,naval gun,4,?,1954; 1955,New,For modernization of 2 Antioquia destroyers,0.75,3,3
Croatia,Soviet Union,1989,?,1,,AK-630 30mm,naval gun,1,,1991,New,For modernization of 1 Koncar FAC,1,1,1
Denmark,Italy,1975,?,3,,Compact 76mm,naval gun,3,,1980; 1981; 1982,New,For 3 Niels Juel corvettes produced in Denmark,2.5,7.5,7.5
Denmark,Italy,1972,?,10,,Compact 76mm,naval gun,10,,1976; 1977; 1978,New,For 10 Willemoes FAC from FRG,2.5,25,25
Denmark,Italy,1987,?,4,,Compact 76mm,naval gun,4,,1991; 1992,New,For 4 Thetis OPV produced in Denmark,2.5,10,10
