Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Egypt,Russia,1990,,58,?,BMP-2 turret,IFV turret,58,?,1993; 1994; 1995; 1996; 1997,New,For Fahd-240/30 IFV from FRG; ordered from Soviet Union and delivered from Russia,0.55,31.9,31.9
Finland,Norway,2006,?,50,?,Protector,APC turret,50,?,2007; 2008,New,For 50 AMV APC produced in Finland,0.05,2.5,2.5
France,Belgium,2005,?,110,?,Arrows-300,APC turret,110,?,2008; 2009; 2010; 2011; 2012; 2013,New,For 110 VPC APC produced in France,0.05,5.5,5.5
France,Norway,2009,?,15,,Protector,APC turret,15,,2009; 2010,New,For 15 Aravis APV produced in France,0.05,0.75,0.75
France,Norway,2008,,60,,Protector,APC turret,60,?,2008; 2009,New,EUR20 m deal; for modernization of 60 VAB APC to VAB-TOP,0.05,3,3
France,Norway,2009,?,20,,Protector,APC turret,20,?,2010,New,For modernization of 20 VAB APC to VAB-TOP,0.05,1,1
France,Norway,2014,,290,,Protector,APC turret,290,?,2015; 2016,New,For modernization of VAB APC to VAB Ultima version,0.05,14.5,14.5
France,United Kingdom,1991,?,14,?,air refuel system,air refuel system,14,?,1994; 1995; 1996; 1997; 1998,New,Mk-32 AAR pod for modernization of 15 KC-135FR tanker aircraft,10,140,140
France,United Kingdom,2015,,,,air refuel system,air refuel system,22,?,2017; 2018; 2019; 2020; 2021; 2022; 2023,New,For A400 and 15 A330 MRTT tanker/transport aircraft produced in France,10,0,220
Germany,Norway,2019,,10,,Protector,APC turret,10,?,2021,New,NOK250 m deal; version with 40mm grenade-launcher for anti-UAV role,0.05,0.5,0.5
Germany,United Kingdom,2000,?,4,,air refuel system,air refuel system,4,?,2004; 2005; 2006,New,For modification (in FRG) of 4 A310 transport aircraft to tanker/transport aircraft,10,40,40
Germany,United Kingdom,2003,?,6,?,air refuel system,air refuel system,6,?,2018; 2019; 2020; 2021; 2022; 2023,New,For A400M tanker/transport aircraft produced in Germany,10,60,60
Gabon,Sweden,1981,,12,,Hagglunds 20mm,IFV turret,12,,1984,New,For 12 EE-11 APC from Brazil,0.1,1.2,1.2
India,Israel,2001,,6,,air refuel system,air refuel system,6,?,2003; 2004,New,For 6 Il-78 tanker aircraft from Uzbekistan,10,60,60
Indonesia,Australia,2019,?,20,?,R-400S,APC turret,20,?,2019,New,For 7 Komodo and 13 Anoa APC produced in Indonesia,0.05,1,1
Indonesia,Belgium,2008,?,22,?,CM-90 90mm,tank turret,22,?,2013,New,For Black Fox IFV from South Korea; CSE-90 version,0.6,13.2,13.2
Indonesia,Belgium,2016,,14,?,CM-90 90mm,tank turret,14,?,2019; 2020; 2021,New,Produced under licence in Indonesia; for 14 Badak armoured fire support vehicles produced in Indonesia,0.6,8.4,8.4
Indonesia,Belgium,2016,,1,,Cockerill-3105 105mm,tank turret,1,?,2017,New,For Pandur-2 AFSV from Austria,0.8,0.8,0.8
Indonesia,Belgium,2019,?,18,,Cockerill-3105 105mm,tank turret,0,,,New,For MMWT (Kaplan MT or Harimau) tank from Turkey,0.8,14.4,0
Indonesia,Israel,2019,,23,,UT-25/UT-30,IFV turret,11,?,2023,New,UT-30 Mk-2 version; from Brazilian production line; for 23 Pandur-2 IFV from Austria (via Czech production line),0.6,13.8,6.6
Indonesia,United Kingdom,2021,?,2,,air refuel system,air refuel system,0,,,New,For 2 A400M transport aircraft from Spain,10,20,0
Iran,Russia,1999,?,130,?,BMP-2 turret,IFV turret,130,?,2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012,New,For Boraq IFV produced in Iran (based on WZ-501 APC from China); possibly assembled or produced in Iran; status from 2010 uncertain (due to UN arms embargo),0.55,71.5,71.5
Ireland,Norway,2005,,15,,Protector,APC turret,15,,2007,New,For 15 Piranha-3H APC from Switzerland,0.05,0.75,0.75
Ireland,Norway,2008,,10,?,Protector,APC turret,10,?,2010,New,For 10 RG-32 APV from South Africa,0.05,0.5,0.5
Ireland,Norway,2014,,62,?,Protector,APC turret,62,?,2019; 2020,New,For modernization of 62 Piranha-3 APC,0.05,3.1,3.1
Israel,United States,2023,,2,,Iron Dome,SAM system,2,,2023,Second hand,Second-hand; lease,10,20,20
Italy,Germany,1993,?,60,,Leopard-1A5 turret,tank turret,60,,1995,Second hand,Second-hand; for modernization of Italian Leopard-1A1 tanks,0.46,27.6,27.6
Italy,Germany,1995,?,60,,Leopard-1A5 turret,tank turret,60,,1996,Second hand,Second-hand; for modernization of Italian Leopard-1A1 tanks,0.46,27.6,27.6
Italy,United Kingdom,1998,,6,,air refuel system,air refuel system,6,?,2002; 2003,New,For 6 C-130J transport aircraft from USA,10,60,60
Italy,United Kingdom,2002,,4,,air refuel system,air refuel system,4,,2011; 2012,New,For 4 KC-767 tanker/transport aircraft from USA,10,40,40
Italy,United Kingdom,2022,,6,,air refuel system,air refuel system,0,,,New,For 6 KC-46 tanker/transport aircraft,10,60,0
Italy,United States,1988,,4,,air refuel system,air refuel system,4,?,1992; 1993,New,For modification of 4 Boeing-707 transport aircraft to Boeing-707T/T tanker/transport aircraft,10,40,40
Japan,United Kingdom,2009,,1,,air refuel system,air refuel system,1,,2010,New,For modification of 1 C-130H transport aircraft to KC-130H tanker/transport version,10,10,10
Japan,United Kingdom,2003,,4,,air refuel system,air refuel system,4,,2008; 2009; 2010,New,For 4 KC-767 tanker/transport aircraft from USA,10,40,40
Japan,United Kingdom,2015,,6,,air refuel system,air refuel system,2,,2021; 2022,New,For 6 KC-46A tanker/transport aircraft from USA,10,60,20
Kazakhstan,Turkiye,2016,,131,?,SARP-Dual,IFV turret,131,?,2016; 2017; 2018; 2019; 2020,New,For Marauder (Arlan) APC from South Africa; possibly assembled or produced under licence in Kazakhstan,0.05,6.55,6.55
Kuwait,Belgium,1984,,62,?,CM-90 90mm,tank turret,62,?,1984; 1986,New,For 62 V-300 Mk-2 IFV/AFSV from USA,0.6,37.2,37.2
Kuwait,Belgium,1996,,15,?,LCTS-90 90mm,tank turret,15,?,1998; 1999,New,For Pandur FSV from Austria,0.7,10.5,10.5
Kuwait,France,1987,?,10,,BTM,APC turret,10,,1988,New,BTM-208 version for 10 Fahd APC from Egypt,0.04,0.4,0.4
Kuwait,France,1988,,100,,BTM,APC turret,100,?,1989; 1990,New,BTM-208 version for 100 Fahd APC from Egypt,0.04,4,4
Kuwait,Norway,2008,,20,,Protector,APC turret,20,,2009,New,For 20 VBL APV from France,0.05,1,1
Kuwait,Norway,2014,,10,?,Protector,APC turret,10,?,2015,New,,0.05,0.5,0.5
Kuwait,Norway,2016,?,218,,Protector,APC turret,218,?,2021; 2022,New,For modernization of 218 Kuwaiti M-1A2 tanks; probably from US production line,0.05,10.9,10.9
Kuwait,United Kingdom,2007,,10,?,RMTS,IFV turret,10,?,2010; 2011,New,For Desert Chameleon IFV from USA,0.6,6,6
